comparison,query_id,mask_ratio,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10
attention_raw_topk-minus-attention_connected,250,0.1,0.027430236339569092,0.01056012511253357,0.3190370202064514,0.25530505180358887,0.07835203409194946,0.06615626811981201,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,190,0.1,0.0577944815158844,0.02919498085975647,0.35625481605529785,0.3082769513130188,0.2061338722705841,0.20629432797431946,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,505,0.1,0.05894869565963745,0.08517420291900635,0.3619879484176636,0.3450014591217041,0.04694730043411255,0.06186339259147644,2,2,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,486,0.1,0.02868098020553589,0.019431710243225098,0.3265794515609741,0.36365407705307007,0.025570988655090332,0.014234185218811035,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,72,0.1,0.06592875719070435,0.0815829336643219,0.26029348373413086,0.2534712553024292,0.0922842025756836,0.09514456987380981,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,222,0.1,0.017464280128479004,0.047704458236694336,0.42184877395629883,0.44710779190063477,0.041091978549957275,0.07872304320335388,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,42,0.1,0.037657856941223145,0.0220339298248291,0.18376386165618896,0.157082200050354,0.044838279485702515,0.01725485920906067,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,59,0.1,0.017456382513046265,0.017456382513046265,0.2303904891014099,0.2303904891014099,0.1173890233039856,0.1173890233039856,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,598,0.1,0.13135400414466858,0.12834671139717102,0.3229954242706299,0.3012579679489136,0.14821818470954895,0.14744162559509277,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,136,0.1,0.07593239843845367,0.04677119851112366,0.3244820833206177,0.3070131540298462,0.11600488424301147,0.09836411476135254,0,0,0,0,1,1,1,1,1,1
