comparison,mask_ratio,subset,metric,n_queries,attention_mean,random_token_mean,clean_mean,damage_advantage,ci_low,ci_high,definition,bootstrap_resamples,bootstrap_seed
attention_connected-minus-random_token,0.1,all_queries,hit_at_1,500,0.82,0.8764,0.892,0.056400000000000006,0.03360000000000001,0.08,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.1,all_queries,hit_at_5,500,0.914,0.9364,0.938,0.0224,0.0076,0.0384,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.1,all_queries,hit_at_10,500,0.932,0.9476,0.948,0.0156,0.004,0.028399999999999998,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.1,all_queries,failure_flip,500,0.088,0.024,0.0,0.064,0.04320000000000001,0.086,attention-minus-random,20000,2024
attention_connected-minus-random_token,0.1,clean_R1_correct,hit_at_1,446,0.9013452914798207,0.9730941704035875,1.0,0.07174887892376682,0.04886771300448431,0.09641255605381166,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.1,clean_R1_correct,hit_at_5,446,0.9775784753363229,0.9968609865470851,1.0,0.01928251121076233,0.006726457399103139,0.033632286995515695,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.1,clean_R1_correct,hit_at_10,446,0.9887892376681614,0.9991031390134529,1.0,0.01031390134529148,0.0013452914798206277,0.021524663677130042,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.1,clean_R1_correct,failure_flip,446,0.09865470852017937,0.026905829596412557,0.0,0.07174887892376682,0.04886771300448431,0.09641255605381166,attention-minus-random,20000,2024
attention_connected-minus-random_token,0.15,all_queries,hit_at_1,500,0.794,0.868,0.892,0.074,0.04960000000000003,0.09919999999999993,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.15,all_queries,hit_at_5,500,0.9,0.9315999999999999,0.938,0.031599999999999996,0.015599999999999998,0.04880000000000002,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.15,all_queries,hit_at_10,500,0.918,0.9444,0.948,0.0264,0.012,0.041609999999999155,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.15,all_queries,failure_flip,500,0.112,0.033600000000000005,0.0,0.07840000000000001,0.05600000000000003,0.10199999999999995,attention-minus-random,20000,2024
attention_connected-minus-random_token,0.15,clean_R1_correct,hit_at_1,446,0.874439461883408,0.9623318385650225,1.0,0.08789237668161436,0.062780269058296,0.11479820627802685,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.15,clean_R1_correct,hit_at_5,446,0.9641255605381166,0.9914798206278028,1.0,0.027354260089686097,0.012556053811659192,0.043497757847533645,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.15,clean_R1_correct,hit_at_10,446,0.9775784753363229,0.9946188340807175,1.0,0.017040358744394617,0.00493273542600897,0.030941704035874443,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.15,clean_R1_correct,failure_flip,446,0.12556053811659193,0.03766816143497757,0.0,0.08789237668161436,0.062780269058296,0.11479820627802685,attention-minus-random,20000,2024
attention_connected-minus-random_token,0.2,all_queries,hit_at_1,500,0.754,0.8492000000000001,0.892,0.0952,0.0676,0.12319999999999992,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.2,all_queries,hit_at_5,500,0.864,0.9244,0.938,0.06039999999999999,0.03960000000000002,0.08239999999999999,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.2,all_queries,hit_at_10,500,0.894,0.9388,0.948,0.0448,0.027200000000000002,0.064,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.2,all_queries,failure_flip,500,0.158,0.05480000000000001,0.0,0.10320000000000001,0.0776,0.12919999999999995,attention-minus-random,20000,2024
attention_connected-minus-random_token,0.2,clean_R1_correct,hit_at_1,446,0.8228699551569507,0.9385650224215247,1.0,0.115695067264574,0.08744394618834082,0.14529147982062776,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.2,clean_R1_correct,hit_at_5,446,0.9260089686098655,0.9856502242152467,1.0,0.05964125560538116,0.03856502242152468,0.08206278026905832,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.2,clean_R1_correct,hit_at_10,446,0.952914798206278,0.9914798206278027,1.0,0.03856502242152467,0.02197309417040359,0.05695067264573991,random-minus-attention,20000,2024
attention_connected-minus-random_token,0.2,clean_R1_correct,failure_flip,446,0.17713004484304934,0.061434977578475346,0.0,0.11569506726457397,0.08744394618834081,0.14529147982062776,attention-minus-random,20000,2024
