seed,strategy,condition,endpoint,n_queries,mean,variance
0,attention,clean,margin_drop,50,0.0,0.0
0,attention,clean,descriptor_drift,50,0.0,0.0
0,attention,clean,rank_degradation,50,0.0,0.0
0,attention,clean,positive_similarity_drop,50,0.0,0.0
0,attention,clean,failure_flip,50,0.0,0.0
0,attention,clean,hit_at_1,50,0.98,0.019999999999999997
0,attention,clean,hit_at_5,50,1.0,0.0
0,attention,clean,hit_at_10,50,1.0,0.0
0,attention,random,margin_drop,50,0.04614391922950744,0.0012839062586335998
0,attention,random,descriptor_drift,50,0.18438056826591492,0.004233242686549115
0,attention,random,rank_degradation,50,3.9159999999999995,761.9674938775511
0,attention,random,positive_similarity_drop,50,0.05343762132525443,0.0012320115661015962
0,attention,random,failure_flip,50,0.012000000000000002,0.0023020408163265307
0,attention,random,hit_at_1,50,0.9680000000000001,0.021812244897959184
0,attention,random,hit_at_5,50,0.988,0.007199999999999999
0,attention,random,hit_at_10,50,0.992,0.003200000000000001
0,attention,targeted,margin_drop,50,0.0894824093580246,0.003808389557049436
0,attention,targeted,descriptor_drift,50,0.3221240854263306,0.007117423039601305
0,attention,targeted,rank_degradation,50,2.26,246.31877551020403
0,attention,targeted,positive_similarity_drop,50,0.09985751122236251,0.004032995282241475
0,attention,targeted,failure_flip,50,0.02,0.019999999999999993
0,attention,targeted,hit_at_1,50,0.96,0.03918367346938776
0,attention,targeted,hit_at_5,50,0.98,0.019999999999999997
0,attention,targeted,hit_at_10,50,0.98,0.019999999999999997
1,attention,clean,margin_drop,50,0.0,0.0
1,attention,clean,descriptor_drift,50,0.0,0.0
1,attention,clean,rank_degradation,50,0.0,0.0
1,attention,clean,positive_similarity_drop,50,0.0,0.0
1,attention,clean,failure_flip,50,0.0,0.0
1,attention,clean,hit_at_1,50,0.94,0.05755102040816328
1,attention,clean,hit_at_5,50,0.98,0.019999999999999993
1,attention,clean,hit_at_10,50,1.0,0.0
1,attention,random,margin_drop,50,0.037159077465534214,0.0012332283678595983
1,attention,random,descriptor_drift,50,0.18078708100318913,0.004205637996308461
1,attention,random,rank_degradation,50,0.664,11.003167346938774
1,attention,random,positive_similarity_drop,50,0.045295873522758476,0.001422108548493841
1,attention,random,failure_flip,50,0.016,0.004636734693877553
1,attention,random,hit_at_1,50,0.924,0.06022857142857143
1,attention,random,hit_at_5,50,0.976,0.014106122448979597
1,attention,random,hit_at_10,50,0.98,0.008571428571428572
1,attention,targeted,margin_drop,50,0.0648190015554428,0.003228448254480592
1,attention,targeted,descriptor_drift,50,0.2871389877796173,0.007743275008096296
1,attention,targeted,rank_degradation,50,1.04,14.692244897959185
1,attention,targeted,positive_similarity_drop,50,0.07235588043928147,0.00327823983420296
1,attention,targeted,failure_flip,50,0.02,0.019999999999999993
1,attention,targeted,hit_at_1,50,0.92,0.07510204081632653
1,attention,targeted,hit_at_5,50,0.92,0.07510204081632653
1,attention,targeted,hit_at_10,50,0.94,0.05755102040816328
0,fused,clean,margin_drop,50,0.0,0.0
0,fused,clean,descriptor_drift,50,0.0,0.0
0,fused,clean,rank_degradation,50,0.0,0.0
0,fused,clean,positive_similarity_drop,50,0.0,0.0
0,fused,clean,failure_flip,50,0.0,0.0
0,fused,clean,hit_at_1,50,0.98,0.019999999999999997
0,fused,clean,hit_at_5,50,1.0,0.0
0,fused,clean,hit_at_10,50,1.0,0.0
0,fused,random,margin_drop,50,0.04663509505987167,0.001145715718132862
0,fused,random,descriptor_drift,50,0.1893673851490021,0.004825461390176115
0,fused,random,rank_degradation,50,0.11199999999999999,0.4280163265306121
0,fused,random,positive_similarity_drop,50,0.05575344449281693,0.001113569691087911
0,fused,random,failure_flip,50,0.02,0.008571428571428572
0,fused,random,hit_at_1,50,0.96,0.02775510204081633
0,fused,random,hit_at_5,50,0.992,0.003200000000000001
0,fused,random,hit_at_10,50,0.996,0.0007999999999999997
0,fused,targeted,margin_drop,50,0.09798157602548599,0.0036222925215183494
0,fused,targeted,descriptor_drift,50,0.3151690435409546,0.0069955136695621705
0,fused,targeted,rank_degradation,50,2.22,233.07306122448983
0,fused,targeted,positive_similarity_drop,50,0.10707502245903015,0.004313485040961965
0,fused,targeted,failure_flip,50,0.06,0.05755102040816327
