seed,strategy,condition,endpoint,n_queries,mean,variance
0,attention,clean,margin_drop,50,0.0,0.0
0,attention,clean,descriptor_drift,50,0.0,0.0
0,attention,clean,rank_degradation,50,0.0,0.0
0,attention,clean,positive_similarity_drop,50,0.0,0.0
0,attention,clean,failure_flip,50,0.0,0.0
0,attention,clean,hit_at_1,50,0.96,0.03918367346938776
0,attention,clean,hit_at_5,50,1.0,0.0
0,attention,clean,hit_at_10,50,1.0,0.0
0,attention,random,margin_drop,50,0.04753279221057891,0.001551582223931783
0,attention,random,descriptor_drift,50,0.18438056826591492,0.004233242686549115
0,attention,random,rank_degradation,50,6.3,1989.6542857142854
0,attention,random,positive_similarity_drop,50,0.05284909281134605,0.0013606263785103335
0,attention,random,failure_flip,50,0.004,0.0008000000000000003
0,attention,random,hit_at_1,50,0.9680000000000001,0.023444897959183673
0,attention,random,hit_at_5,50,0.9840000000000001,0.012799999999999999
0,attention,random,hit_at_10,50,0.988,0.007199999999999999
0,attention,targeted,margin_drop,50,0.09367616593837738,0.004540212928735619
0,attention,targeted,descriptor_drift,50,0.3221240854263306,0.007117423039601305
0,attention,targeted,rank_degradation,50,4.02,767.7342857142856
0,attention,targeted,positive_similarity_drop,50,0.10130567729473114,0.004381744616170032
0,attention,targeted,failure_flip,50,0.06,0.05755102040816326
0,attention,targeted,hit_at_1,50,0.9,0.09183673469387756
0,attention,targeted,hit_at_5,50,0.98,0.019999999999999997
0,attention,targeted,hit_at_10,50,0.98,0.019999999999999997
1,attention,clean,margin_drop,50,0.0,0.0
1,attention,clean,descriptor_drift,50,0.0,0.0
1,attention,clean,rank_degradation,50,0.0,0.0
1,attention,clean,positive_similarity_drop,50,0.0,0.0
1,attention,clean,failure_flip,50,0.0,0.0
1,attention,clean,hit_at_1,50,0.92,0.07510204081632653
1,attention,clean,hit_at_5,50,0.96,0.03918367346938776
1,attention,clean,hit_at_10,50,0.98,0.019999999999999993
1,attention,random,margin_drop,50,0.037733975827693944,0.0012741761491462946
1,attention,random,descriptor_drift,50,0.18078708100318913,0.004205637996308461
1,attention,random,rank_degradation,50,0.748,14.092751020408159
1,attention,random,positive_similarity_drop,50,0.0434191796183586,0.001221234130575496
1,attention,random,failure_flip,50,0.024,0.014106122448979595
1,attention,random,hit_at_1,50,0.9039999999999999,0.07386122448979592
1,attention,random,hit_at_5,50,0.968,0.023444897959183673
1,attention,random,hit_at_10,50,0.976,0.014106122448979597
1,attention,targeted,margin_drop,50,0.06582767188549042,0.0029656250370907002
1,attention,targeted,descriptor_drift,50,0.2871389877796173,0.007743275008096296
1,attention,targeted,rank_degradation,50,1.24,67.65551020408165
1,attention,targeted,positive_similarity_drop,50,0.07143320620059967,0.002520503753315334
1,attention,targeted,failure_flip,50,0.06,0.05755102040816327
1,attention,targeted,hit_at_1,50,0.86,0.12285714285714283
1,attention,targeted,hit_at_5,50,0.92,0.07510204081632653
1,attention,targeted,hit_at_10,50,0.96,0.03918367346938776
0,fused,clean,margin_drop,50,0.0,0.0
0,fused,clean,descriptor_drift,50,0.0,0.0
0,fused,clean,rank_degradation,50,0.0,0.0
0,fused,clean,positive_similarity_drop,50,0.0,0.0
0,fused,clean,failure_flip,50,0.0,0.0
0,fused,clean,hit_at_1,50,0.96,0.03918367346938776
0,fused,clean,hit_at_5,50,1.0,0.0
0,fused,clean,hit_at_10,50,1.0,0.0
0,fused,random,margin_drop,50,0.044427429735660544,0.0013446506253378186
0,fused,random,descriptor_drift,50,0.18487290334701537,0.003317264106128978
0,fused,random,rank_degradation,50,0.26,3.719591836734694
0,fused,random,positive_similarity_drop,50,0.05230311608314515,0.0010205351636991987
0,fused,random,failure_flip,50,0.004,0.0008000000000000001
0,fused,random,hit_at_1,50,0.972,0.02124081632653061
0,fused,random,hit_at_5,50,0.988,0.007199999999999999
0,fused,random,hit_at_10,50,0.988,0.007199999999999999
0,fused,targeted,margin_drop,50,0.10098689496517181,0.0046037693401658
0,fused,targeted,descriptor_drift,50,0.3166408121585846,0.0070630217936976
0,fused,targeted,rank_degradation,50,2.24,220.26775510204084
0,fused,targeted,positive_similarity_drop,50,0.10389703780412674,0.004425269619034153
0,fused,targeted,failure_flip,50,0.08,0.07510204081632653
